file,number,x_std,y_std,width,length,distance,x_var,y_var,people
11,195,0,0,0,0,0,0,0,0
11,21,46.95733666,7.807083543,36.67037284,172.9344825,40.48219066,2204.991466,60.95055345,0
11,34,86.71392786,4.922940556,16.77207216,289.7757061,75.33281262,7519.305285,24.23534372,0
11,26,72.96537275,27.03709678,90.20570955,218.3312602,69.60703952,5323.945621,731.0046024,0
11,46,245.1668184,54.22986568,209.8820568,704.501068,227.2957655,60106.76884,2940.878332,0
11,2,31.98846549,36.60970378,73.21940757,63.97693099,48.6161736,1023.261925,1340.270411,0
11,3,20.71137704,26.30026892,64.32973647,49.94809069,32.54828957,428.9611389,691.7041452,0
11,24,17.1639725,237.8914759,771.1442459,57.70834781,211.8100635,294.6019519,56592.3543,0
11,24,8.630336501,197.3951879,658.1757189,36.0372759,171.5195218,74.48270813,38964.86019,0
11,20,30.09466213,82.50372235,271.8016878,98.83880096,77.71950828,905.6886886,6806.864201,1
11,5,21.01442108,53.34121479,158.8399923,62.81332491,46.82590194,441.6058933,2845.285195,0
11,6,53.46387931,24.00803581,63.17100973,171.0765645,51.00544169,2858.386391,576.3857834,0
11,13,117.8438403,30.26952586,94.11320172,382.2150103,103.968039,13887.17069,916.2441959,0
11,81,432.1518252,66.54451358,251.3886423,1550.73635,380.6787493,186755.2,4428.172287,0
11,6,23.89472098,1.497841802,4.758091949,66.93438313,21.38384562,570.9576906,2.243530062,0
11,213,54.68154097,196.208335,775.1845627,213.6196009,171.4331382,2990.070923,38497.71073,0
11,201,56.11903981,214.4488423,776.7885922,210.8828439,191.9418106,3149.346629,45988.30597,0
11,201,0,0,0,0,0,0,0,0
11,30,46.13835581,6.575143695,33.41099382,181.9599496,39.22338761,2128.747877,43.23251461,0
11,60,164.9249125,105.798616,270.3671628,540.2641065,183.6482909,27200.22678,11193.34715,0
11,44,243.2001841,53.23990323,200.1373463,702.8429876,225.0624903,59146.32955,2834.487296,0
11,3,33.24926307,35.08650093,76.35151429,75.90597084,45.3971191,1105.513494,1231.062547,0
11,2,6.234345035,3.861827337,7.723654675,12.46869007,7.333537236,38.86705801,14.91371038,0
11,23,15.59763285,230.179836,741.1918699,51.73649488,204.9038987,243.2861507,52982.75691,0
11,24,13.47260601,198.5432371,675.7027346,57.68880384,171.7674255,181.5111128,39419.417,0
11,20,33.47936439,83.60920143,265.4677922,124.5392971,80.00532611,1120.86784,6990.498564,1
